pair_id,frame_idx,psnr,ssim
1776049883,0,13.4849,0.3466
1776049883,1,13.3927,0.3546
1776049883,2,13.2100,0.3386
1776049883,3,13.5626,0.3506
1776049883,4,14.0674,0.3825
1776049883,5,14.1612,0.4025
1776049883,6,13.9419,0.3732
1776049883,7,13.7772,0.3691
1776049883,8,13.6963,0.3613
1776049883,9,14.0029,0.3798
1776049883,10,14.3275,0.3921
1776049883,11,14.3133,0.3851
1776049883,12,13.7704,0.3691
1776049883,13,13.4919,0.3616
1776049883,14,13.5202,0.3558
1776049883,15,13.6997,0.3721
1776049883,16,13.9865,0.3822
1776049883,17,14.3552,0.4138
1776049883,18,13.8828,0.4020
1776049883,19,13.4368,0.3783
1776049883,20,13.2316,0.3571
1776049883,21,13.1512,0.3617
1776049883,22,13.0776,0.3633
1776049883,23,13.0838,0.3889
1776049883,24,13.0411,0.3819
1776049883,25,13.3362,0.3846
1776049883,26,14.2558,0.4704
1776049883,27,14.3707,0.5079
1776049883,28,14.6254,0.4990
1776049883,29,14.0780,0.4143
1776049883,30,13.6051,0.3811
1776049883,31,13.4788,0.3920
1776049883,32,13.2252,0.3873
1776049883,33,13.2074,0.3881
1776049883,34,13.4436,0.3774
1776049883,35,14.0530,0.4191
1776049883,36,14.2664,0.4499
1776049883,37,14.4530,0.4528
1776049883,38,13.9641,0.4682
1776049883,39,13.3314,0.4550
1776049883,40,13.1786,0.3962
1776049883,41,13.6769,0.3773
1776049883,42,13.9896,0.3730
1776049883,43,13.6337,0.3736
1776049883,44,13.1775,0.3674
1776049883,45,13.3902,0.3754
1776049883,46,13.8133,0.3714
1776049883,47,13.8790,0.3745
1776049883,48,14.2944,0.3967
1776049883,49,15.3958,0.4828
1776049883,50,14.8307,0.5081
1776049883,51,14.7221,0.4794
1776049883,52,14.3719,0.4037
1776049883,53,13.8055,0.3850
1776049883,54,13.8876,0.3776
1776049883,55,14.4123,0.3957
1776049883,56,14.7994,0.4196
1776049883,57,14.9199,0.4233
1776049883,58,14.1968,0.4078
1776049883,59,13.6202,0.4091
1776049883,60,13.4638,0.4307
1776049883,61,13.6383,0.4363
1776049883,62,14.0322,0.4127
1776049883,63,14.3066,0.3878
1776049883,64,14.7253,0.4036
1776049883,65,14.9831,0.4463
1776049883,66,14.6113,0.4479
1776049883,67,14.0454,0.4011
1776049883,68,13.7014,0.3884
1776049883,69,13.5828,0.3927
1776049883,70,13.5837,0.3711
1776049883,71,13.9692,0.3655
1776049883,72,14.1789,0.3653
1776049883,73,13.9741,0.3436
1776049883,74,14.0094,0.3509
1776049883,75,13.8664,0.3446
1776049883,76,13.7582,0.3422
1776049883,77,13.9572,0.3529
1776049883,78,13.9372,0.3668
1776049883,79,13.5943,0.3515
1776049883,80,13.5495,0.3759
1776049883,81,13.5025,0.3751
1776049883,82,13.5870,0.3583
1776049883,83,14.0001,0.3831
1776049883,84,14.4634,0.4722
1776049883,85,14.5984,0.4784
1776049883,86,14.2081,0.3980
1776049883,87,13.5557,0.3711
1776049883,88,13.3034,0.3898
1776049883,89,13.2815,0.3784
1776049883,90,13.4260,0.3593
1776049883,91,13.5360,0.3521
1776049883,92,13.8708,0.3541
1776049883,93,14.2795,0.3653
1776049883,94,14.0010,0.3472
1776049883,95,13.9402,0.3467
1776049883,96,14.3138,0.3538
1776049883,97,14.3918,0.3675
1776049883,98,14.1178,0.3514
1776049883,99,14.1347,0.3559
1776049883,100,14.0902,0.3496
1776049883,101,14.2626,0.3563
1776049883,102,14.7060,0.3699
1776049883,103,15.1920,0.4015
1776049883,104,15.0825,0.3910
1776049883,105,15.2947,0.4138
1776049883,106,15.9223,0.4505
1776049883,107,15.9061,0.4516
1776049883,108,15.4068,0.4239
1776049883,109,15.3614,0.4107
1776049883,110,15.0880,0.3905
1776049883,111,14.5066,0.3642
1776049883,112,14.0776,0.3382
1776049883,113,14.0224,0.3396
1776049883,114,14.1373,0.3394
1776049883,115,14.2946,0.3475
1776049883,116,14.2225,0.3371
1776049883,117,14.0884,0.3353
1776049883,118,14.2389,0.3445
1776049883,119,14.3705,0.3646
1776049883,120,14.1165,0.3579
1776049883,121,14.1332,0.3638
1776049883,122,14.0316,0.3582
1776049883,123,14.0206,0.3590
1776049883,124,13.9926,0.3479
1776049883,125,13.9067,0.3579
1776049883,126,14.0285,0.3627
1776049883,127,14.3668,0.4068
1776049883,128,14.2348,0.3911
1776049883,129,13.9532,0.3703
1776049883,130,14.2603,0.3678
1776049883,131,15.0334,0.4304
1776049883,132,14.6292,0.3893
1776049883,133,13.8880,0.3839
1776049883,134,13.7828,0.3852
1776049883,135,13.9324,0.3780
1776049883,136,14.1069,0.3739
1776049883,137,14.3058,0.3670
1776049883,138,14.2000,0.3616
1776049883,139,14.0275,0.3741
1776049883,140,13.8564,0.3649
1776049883,141,14.0314,0.3690
1776049883,142,14.2701,0.3817
1776049883,143,14.2728,0.3765
1776049883,144,14.2813,0.3573
1776049883,145,14.4066,0.3622
1776049883,146,14.3493,0.3633
1776049883,147,14.4780,0.3719
1776049883,148,14.6409,0.3688
1776049883,149,14.5786,0.3683
1776049883,150,14.5638,0.3791
1776049883,151,14.8849,0.4082
1776049883,152,14.9851,0.4263
1776049883,153,14.6659,0.4165
1776049883,154,14.4279,0.3974
1776049883,155,14.5469,0.4150
1776049883,156,14.5456,0.4041
1776049883,157,14.4449,0.3986
1776049883,158,14.1936,0.3924
1776049883,159,14.1730,0.3971
1776049883,160,14.3156,0.3960
1776049883,161,14.1352,0.3943
1776049883,162,13.8989,0.3818
1776049883,163,13.9538,0.3764
1776049883,164,14.0397,0.3725
1776049883,165,14.1333,0.3816
1776049883,166,14.0774,0.3718
1776049883,167,14.0179,0.3775
1776049883,168,13.8760,0.3678
1776049883,169,13.9289,0.3774
1776049883,170,14.1421,0.3933
1776049883,171,14.2168,0.4060
1776049883,172,14.1012,0.3902
1776049883,173,14.0740,0.3963
1776049883,174,14.0390,0.3979
1776049883,175,13.9711,0.4222
1776049883,176,13.8982,0.4113
1776049883,177,13.8388,0.4068
1776049883,178,14.0126,0.4193
1776049883,179,14.0751,0.4254
1776049883,180,13.8344,0.4162
1776049883,181,13.6909,0.4227
1776049883,182,13.5933,0.4131
1776049883,183,13.6636,0.4131
1776049883,184,13.9517,0.4134
1776049883,185,14.0859,0.4208
